IsActive,Number,Name,Date,Notes,Barcode,ArticleAccountCoding,Unit,NetPrice,EU,stock,PurchasePrice,StockBalance,price_with_taxes,price_with_taxes (-20%)
TRUE,CB10148,(MB-301A) - Drivaksel,1633427473,,,90,PCE,,45,2,486,,1490,1192
TRUE,CB10149,(MB-211) - Drivaksel høyre,1633427474,,,90,PCE,,63,2,680.4,,3149,2519.2
TRUE,CB10151,(VO-215A) Drivaksel høyre,1633427475,,,90,PCE,,131,2,1414.8,,2990,2392
TRUE,CB10153,(VO-130A) - Drivaksel venstre,1633427476,,,90,PCE,,89,2,961.2,,2760,2208
TRUE,CB10154,(VO-231) -  (262053) Drivaksel,1633427477,,,90,PCE,,81,2,874.8,,3599,2879.2
TRUE,CB10156,(VO-225A) - Drivaksel høyre,1633427478,,,90,PCE,,131,2,1414.8,,3325,2660
TRUE,CB10158,(TO-1886) - (0112-ZZT251LH),1633427479,,,90,PCE,,51,2,550.8,,2490,1992
TRUE,CB10159,Gsp - ( 259172 ),1633427480,,,90,PCE,,46,2,496.8,,3690,2952
TRUE,CB10161,Shaftec- (TO191L) ED- ( TO-164 )- Drivaksel,1633427481,,,90,PCE,,92,2,993.6,,3690,2952
TRUE,CB10162,Shaftec - (TO221LN) ED-(TO-160) Gsp-(259657),1633427482,,,90,PCE,,110,2,1188,,3450,2760
TRUE,CB10165,(VO-121A) - Drivaksel,1633427483,,,90,PCE,,98,2,1058.4,,2990,2392
TRUE,CB10168,(VO-224A) - Drivaksel høyre,1633427484,,,90,PCE,,77,2,831.6,,2490,1992
TRUE,CB10169,Drivaksel høyre,1633427485,,,90,PCE,,81,2,874.8,,,
TRUE,CB10171,(FD-220A) - Drivaksel høyre,1633427486,,,90,PCE,,63,2,680.4,,2350,1880
TRUE,CB10172,(FD-258) Drivaksel høyre,1633427487,,,90,PCE,,57,2,615.6,,2400,1920
TRUE,CB10173,(FD-186) - Drivaksel venstre,1633427488,,,90,PCE,,86,2,928.8,,3250,2600
TRUE,CB10174,(FD-118) - Drivaksel venstre,1633427489,,,90,PCE,,41,2,442.8,,1300,1040
TRUE,CB10175,(FD-119) - Drivaksel venstre,1633427490,,,90,PCE,,43,2,464.4,,1300,1040
TRUE,CB10176,(VO-112A) - Drivaksel venstre,1633427491,,,90,PCE,,156,2,1684.8,,3800,3040
TRUE,CB11001,(FD-263) - Drivaksel høyre,1633427492,,,90,PCE,,68,2,734.4,,2550,2040
